dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
FashionMNIST,small,44,1,0.5536324642263017,0.7998415081748415,0.8646,0.8483,0.3905724310874939,0.42657906458377837,2048,3.203142673941329
FashionMNIST,small,44,2,0.3937620601237994,0.8558141474808142,0.8687,0.8567,0.35705965700149533,0.39374114010334016,2048,2.5718929650029168
FashionMNIST,small,44,3,0.3601304838806142,0.8670754087420754,0.8722,0.8638,0.3422498783111572,0.37403352885246277,2048,2.5455466739367694
FashionMNIST,small,44,4,0.3316649156269886,0.877565065065065,0.8808,0.8714,0.31935299253463745,0.3521861602067947,2048,2.6297044050879776
FashionMNIST,small,44,5,0.3176108458597421,0.8827577577577578,0.8846,0.875,0.31854181852340696,0.3465392389535904,2048,2.5225361719494686
FashionMNIST,small,44,6,0.30432978921784615,0.8873665331998666,0.8864,0.878,0.3064118616104126,0.33646281197071076,2048,2.635362055967562
FashionMNIST,small,44,7,0.29449522046793053,0.8899733066399733,0.89,0.8787,0.3045541805267334,0.3384658280611038,2048,2.859106743009761
FashionMNIST,small,44,8,0.2784247983285575,0.8954371037704371,0.8878,0.8785,0.30819511833190916,0.33951855266094205,2048,2.883269404992461
FashionMNIST,small,44,9,0.2752948897975582,0.8958958958958959,0.893,0.882,0.3008948215484619,0.33405052132606505,2048,2.6690694759599864
FashionMNIST,small,44,10,0.2644487175895327,0.9001084417751084,0.8939,0.8794,0.300441349029541,0.3348080030798912,2048,2.6307076279772446
