dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,44,10,a1,output_weight_norm,baseline,73,1.0404812097549438
MNIST,medium,44,10,a1,output_weight_norm,baseline,74,0.4082030653953552
MNIST,medium,44,10,a1,output_weight_norm,baseline,75,0.8697317838668823
MNIST,medium,44,10,a1,output_weight_norm,baseline,76,0.8650062084197998
MNIST,medium,44,10,a1,output_weight_norm,baseline,77,0.8513326644897461
MNIST,medium,44,10,a1,output_weight_norm,baseline,78,0.7641717195510864
MNIST,medium,44,10,a1,output_weight_norm,baseline,79,0.40822160243988037
MNIST,medium,44,10,a1,output_weight_norm,baseline,80,0.9157585501670837
MNIST,medium,44,10,a1,output_weight_norm,baseline,81,1.2218934297561646
MNIST,medium,44,10,a1,output_weight_norm,baseline,82,0.7524644732475281
MNIST,medium,44,10,a1,output_weight_norm,baseline,83,0.4440435767173767
MNIST,medium,44,10,a1,output_weight_norm,baseline,84,0.40608906745910645
MNIST,medium,44,10,a1,output_weight_norm,baseline,85,0.9553692936897278
MNIST,medium,44,10,a1,output_weight_norm,baseline,86,0.7744506001472473
MNIST,medium,44,10,a1,output_weight_norm,baseline,87,1.2287039756774902
MNIST,medium,44,10,a1,output_weight_norm,baseline,88,1.3306058645248413
MNIST,medium,44,10,a1,output_weight_norm,baseline,89,1.0241272449493408
MNIST,medium,44,10,a1,output_weight_norm,baseline,90,0.6053252816200256
MNIST,medium,44,10,a1,output_weight_norm,baseline,91,1.1979998350143433
MNIST,medium,44,10,a1,output_weight_norm,baseline,92,1.4142957925796509
MNIST,medium,44,10,a1,output_weight_norm,baseline,93,1.068756103515625
MNIST,medium,44,10,a1,output_weight_norm,baseline,94,1.2628499269485474
MNIST,medium,44,10,a1,output_weight_norm,baseline,95,0.9783021807670593
MNIST,medium,44,10,a1,output_weight_norm,baseline,96,0.9995183348655701
MNIST,medium,44,10,a1,output_weight_norm,baseline,97,1.258560061454773
MNIST,medium,44,10,a1,output_weight_norm,baseline,98,0.8748593926429749
MNIST,medium,44,10,a1,output_weight_norm,baseline,99,1.1211858987808228
MNIST,medium,44,10,a1,output_weight_norm,baseline,100,1.103125810623169
MNIST,medium,44,10,a1,output_weight_norm,baseline,101,1.3732281923294067
MNIST,medium,44,10,a1,output_weight_norm,baseline,102,0.8936826586723328
MNIST,medium,44,10,a1,output_weight_norm,baseline,103,1.1597903966903687
MNIST,medium,44,10,a1,output_weight_norm,baseline,104,0.6808291077613831
MNIST,medium,44,10,a1,output_weight_norm,baseline,105,1.0893853902816772
MNIST,medium,44,10,a1,output_weight_norm,baseline,106,1.4707340002059937
MNIST,medium,44,10,a1,output_weight_norm,baseline,107,1.2283387184143066
MNIST,medium,44,10,a1,output_weight_norm,baseline,108,0.9109125137329102
MNIST,medium,44,10,a1,output_weight_norm,baseline,109,1.0803210735321045
MNIST,medium,44,10,a1,output_weight_norm,baseline,110,1.0914227962493896
MNIST,medium,44,10,a1,output_weight_norm,baseline,111,0.7903439998626709
MNIST,medium,44,10,a1,output_weight_norm,baseline,112,0.40981948375701904
MNIST,medium,44,10,a1,output_weight_norm,baseline,113,0.63132244348526
MNIST,medium,44,10,a1,output_weight_norm,baseline,114,1.3643221855163574
MNIST,medium,44,10,a1,output_weight_norm,baseline,115,1.229567050933838
MNIST,medium,44,10,a1,output_weight_norm,baseline,116,1.2735904455184937
MNIST,medium,44,10,a1,output_weight_norm,baseline,117,1.1680471897125244
MNIST,medium,44,10,a1,output_weight_norm,baseline,118,1.046830177307129
