dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
MNIST,medium,44,2,a1,activation_variance,baseline,1,0.5639793802526665,0.5625,0.05
MNIST,medium,44,2,a1,activation_variance,baseline,1,0.5639793802526665,0.6190476190476191,0.1
MNIST,medium,44,2,a1,activation_variance,baseline,1,0.5639793802526665,0.45714285714285713,0.2
MNIST,medium,44,2,a2,activation_variance,baseline,1,0.6677629668625268,0.3333333333333333,0.05
MNIST,medium,44,2,a2,activation_variance,baseline,1,0.6677629668625268,0.7857142857142857,0.1
MNIST,medium,44,2,a2,activation_variance,baseline,1,0.6677629668625268,0.5,0.2
MNIST,medium,44,2,a3,activation_variance,baseline,1,0.7703711367791586,0.5,0.05
MNIST,medium,44,2,a3,activation_variance,baseline,1,0.7703711367791586,1.0,0.1
MNIST,medium,44,2,a3,activation_variance,baseline,1,0.7703711367791586,0.6129032258064516,0.2
MNIST,medium,44,2,a4,activation_variance,baseline,1,0.7780677655677656,0.2,0.05
MNIST,medium,44,2,a4,activation_variance,baseline,1,0.7780677655677656,0.2,0.1
MNIST,medium,44,2,a4,activation_variance,baseline,1,0.7780677655677656,0.4117647058823529,0.2
MNIST,medium,44,2,a1,class_selectivity,loss_free,1,0.6961170686151429,0.5151515151515151,0.05
MNIST,medium,44,2,a1,class_selectivity,loss_free,1,0.6961170686151429,0.6190476190476191,0.1
MNIST,medium,44,2,a1,class_selectivity,loss_free,1,0.6961170686151429,0.4782608695652174,0.2
MNIST,medium,44,2,a2,class_selectivity,loss_free,1,0.7782391173613843,0.3333333333333333,0.05
MNIST,medium,44,2,a2,class_selectivity,loss_free,1,0.7782391173613843,0.7857142857142857,0.1
MNIST,medium,44,2,a2,class_selectivity,loss_free,1,0.7782391173613843,0.59375,0.2
MNIST,medium,44,2,a3,class_selectivity,loss_free,1,0.7474872389795963,0.5,0.05
MNIST,medium,44,2,a3,class_selectivity,loss_free,1,0.7474872389795963,1.0,0.1
MNIST,medium,44,2,a3,class_selectivity,loss_free,1,0.7474872389795963,0.6666666666666666,0.2
MNIST,medium,44,2,a4,class_selectivity,loss_free,1,0.570558608058608,0.5,0.05
MNIST,medium,44,2,a4,class_selectivity,loss_free,1,0.570558608058608,0.5,0.1
MNIST,medium,44,2,a4,class_selectivity,loss_free,1,0.570558608058608,0.4117647058823529,0.2
MNIST,medium,44,2,a1,firing_rate,baseline,1,0.6575246650811903,0.7857142857142857,0.05
MNIST,medium,44,2,a1,firing_rate,baseline,1,0.6575246650811903,0.6721311475409836,0.1
MNIST,medium,44,2,a1,firing_rate,baseline,1,0.6575246650811903,0.5338345864661654,0.2
MNIST,medium,44,2,a2,firing_rate,baseline,1,0.7391642080147381,0.3333333333333333,0.05
MNIST,medium,44,2,a2,firing_rate,baseline,1,0.7391642080147381,0.7857142857142857,0.1
MNIST,medium,44,2,a2,firing_rate,baseline,1,0.7391642080147381,0.7,0.2
MNIST,medium,44,2,a3,firing_rate,baseline,1,0.8403596945326767,0.5,0.05
MNIST,medium,44,2,a3,firing_rate,baseline,1,0.8403596945326767,0.7142857142857143,0.1
MNIST,medium,44,2,a3,firing_rate,baseline,1,0.8403596945326767,0.6666666666666666,0.2
MNIST,medium,44,2,a4,firing_rate,baseline,1,0.8427029317035079,1.0,0.05
MNIST,medium,44,2,a4,firing_rate,baseline,1,0.8427029317035079,0.7142857142857143,0.1
MNIST,medium,44,2,a4,firing_rate,baseline,1,0.8427029317035079,0.5,0.2
