dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,73,0.9783646464347839
MNIST,medium,43,10,a1,output_weight_norm,baseline,74,1.6280646324157715
MNIST,medium,43,10,a1,output_weight_norm,baseline,75,1.048415184020996
MNIST,medium,43,10,a1,output_weight_norm,baseline,76,0.9172849059104919
MNIST,medium,43,10,a1,output_weight_norm,baseline,77,1.3061871528625488
MNIST,medium,43,10,a1,output_weight_norm,baseline,78,1.2047582864761353
MNIST,medium,43,10,a1,output_weight_norm,baseline,79,0.3972415030002594
MNIST,medium,43,10,a1,output_weight_norm,baseline,80,0.8811373114585876
MNIST,medium,43,10,a1,output_weight_norm,baseline,81,0.9467148184776306
MNIST,medium,43,10,a1,output_weight_norm,baseline,82,0.9750986695289612
MNIST,medium,43,10,a1,output_weight_norm,baseline,83,0.7580016255378723
MNIST,medium,43,10,a1,output_weight_norm,baseline,84,0.6990561485290527
MNIST,medium,43,10,a1,output_weight_norm,baseline,85,0.39097368717193604
MNIST,medium,43,10,a1,output_weight_norm,baseline,86,0.6836730241775513
MNIST,medium,43,10,a1,output_weight_norm,baseline,87,0.6626522541046143
MNIST,medium,43,10,a1,output_weight_norm,baseline,88,1.0232840776443481
MNIST,medium,43,10,a1,output_weight_norm,baseline,89,1.1654473543167114
MNIST,medium,43,10,a1,output_weight_norm,baseline,90,0.45494920015335083
MNIST,medium,43,10,a1,output_weight_norm,baseline,91,0.8863645195960999
MNIST,medium,43,10,a1,output_weight_norm,baseline,92,0.9789151549339294
MNIST,medium,43,10,a1,output_weight_norm,baseline,93,1.0528833866119385
MNIST,medium,43,10,a1,output_weight_norm,baseline,94,1.045061469078064
MNIST,medium,43,10,a1,output_weight_norm,baseline,95,1.3237468004226685
MNIST,medium,43,10,a1,output_weight_norm,baseline,96,0.969885528087616
MNIST,medium,43,10,a1,output_weight_norm,baseline,97,0.9915236830711365
MNIST,medium,43,10,a1,output_weight_norm,baseline,98,1.1261266469955444
