dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,medium,43,1,0.4182208475020077,0.8710168501835168,0.9516,0.9524,0.16477755844593048,0.15724849111139774,2048,2.868551713996567
MNIST,medium,43,2,0.15846724495475675,0.9543293293293293,0.9651,0.9681,0.12199142441451549,0.11034975150898099,2048,2.5004216840025038
MNIST,medium,43,3,0.11458335253778282,0.9678428428428428,0.9699,0.9729,0.10899129092693328,0.09838858373295516,2048,2.692212597001344
MNIST,medium,43,4,0.09979721437922151,0.9722222222222222,0.9735,0.9754,0.09532166117429733,0.08775942778568716,2048,2.6616071469616145
MNIST,medium,43,5,0.08488295873155345,0.9757465799132465,0.974,0.9746,0.09358471632003784,0.08694074098272249,2048,2.5496367119485512
MNIST,medium,43,6,0.0707485814879328,0.9788955622288955,0.9746,0.9763,0.0930460551917553,0.08554074299591594,2048,2.6659734449349344
MNIST,medium,43,7,0.06322494151880532,0.9818151484818152,0.9789,0.9812,0.08193156780600548,0.07374296374460391,2048,2.4937727029901
MNIST,medium,43,8,0.05441424285904105,0.9841299632966299,0.977,0.9774,0.09069887198507785,0.08774893500953913,2048,2.617642635013908
MNIST,medium,43,9,0.054310279188899545,0.9841716716716716,0.9795,0.9809,0.08178701872825622,0.07176976318162633,2048,2.6290367069886997
MNIST,medium,43,10,0.050386236579066365,0.984984984984985,0.9776,0.9805,0.08240647624135017,0.0768035426936578,2048,2.44112233503256
