dataset,architecture,seed,epoch,layer,criterion,criterion_group,reference_criterion,spearman,topk_jaccard,topk_ratio
MNIST,deep,42,10,a6,firing_rate,baseline,activation_fisher,0.11014572393367343,0.5,0.05
MNIST,deep,42,10,a6,firing_rate,baseline,activation_fisher,0.11014572393367343,0.2,0.1
MNIST,deep,42,10,a6,firing_rate,baseline,activation_fisher,0.11014572393367343,0.14285714285714285,0.2
MNIST,deep,42,10,a1,activation_variance,baseline,activation_fisher,0.8432422300194038,0.3157894736842105,0.05
MNIST,deep,42,10,a1,activation_variance,baseline,activation_fisher,0.8432422300194038,0.8545454545454545,0.1
MNIST,deep,42,10,a1,activation_variance,baseline,activation_fisher,0.8432422300194038,0.8214285714285714,0.2
MNIST,deep,42,10,a2,activation_variance,baseline,activation_fisher,0.6657601794514773,0.47058823529411764,0.05
MNIST,deep,42,10,a2,activation_variance,baseline,activation_fisher,0.6657601794514773,0.5,0.1
MNIST,deep,42,10,a2,activation_variance,baseline,activation_fisher,0.6657601794514773,0.4676258992805755,0.2
MNIST,deep,42,10,a3,activation_variance,baseline,activation_fisher,0.5779917120728617,1.0,0.05
MNIST,deep,42,10,a3,activation_variance,baseline,activation_fisher,0.5779917120728617,0.8518518518518519,0.1
MNIST,deep,42,10,a3,activation_variance,baseline,activation_fisher,0.5779917120728617,0.5223880597014925,0.2
MNIST,deep,42,10,a4,activation_variance,baseline,activation_fisher,0.6683131804483914,0.4117647058823529,0.05
MNIST,deep,42,10,a4,activation_variance,baseline,activation_fisher,0.6683131804483914,0.9230769230769231,0.1
MNIST,deep,42,10,a4,activation_variance,baseline,activation_fisher,0.6683131804483914,0.6451612903225806,0.2
MNIST,deep,42,10,a5,activation_variance,baseline,activation_fisher,0.5375552114135553,0.3333333333333333,0.05
MNIST,deep,42,10,a5,activation_variance,baseline,activation_fisher,0.5375552114135553,0.8461538461538461,0.1
MNIST,deep,42,10,a5,activation_variance,baseline,activation_fisher,0.5375552114135553,0.47058823529411764,0.2
MNIST,deep,42,10,a6,activation_variance,baseline,activation_fisher,0.491025641025641,0.2,0.05
MNIST,deep,42,10,a6,activation_variance,baseline,activation_fisher,0.491025641025641,0.5,0.1
MNIST,deep,42,10,a6,activation_variance,baseline,activation_fisher,0.491025641025641,0.3333333333333333,0.2
MNIST,deep,42,10,a1,class_selectivity,loss_free,activation_fisher,0.7498887232848563,0.42857142857142855,0.05
MNIST,deep,42,10,a1,class_selectivity,loss_free,activation_fisher,0.7498887232848563,0.6721311475409836,0.1
MNIST,deep,42,10,a1,class_selectivity,loss_free,activation_fisher,0.7498887232848563,0.7894736842105263,0.2
MNIST,deep,42,10,a2,class_selectivity,loss_free,activation_fisher,0.5780606818185171,0.47058823529411764,0.05
MNIST,deep,42,10,a2,class_selectivity,loss_free,activation_fisher,0.5780606818185171,0.45714285714285713,0.1
MNIST,deep,42,10,a2,class_selectivity,loss_free,activation_fisher,0.5780606818185171,0.43661971830985913,0.2
MNIST,deep,42,10,a3,class_selectivity,loss_free,activation_fisher,0.5563111928506077,1.0,0.05
MNIST,deep,42,10,a3,class_selectivity,loss_free,activation_fisher,0.5563111928506077,0.8518518518518519,0.1
MNIST,deep,42,10,a3,class_selectivity,loss_free,activation_fisher,0.5563111928506077,0.45714285714285713,0.2
MNIST,deep,42,10,a4,class_selectivity,loss_free,activation_fisher,0.6303342161739114,0.8461538461538461,0.05
MNIST,deep,42,10,a4,class_selectivity,loss_free,activation_fisher,0.6303342161739114,0.9230769230769231,0.1
MNIST,deep,42,10,a4,class_selectivity,loss_free,activation_fisher,0.6303342161739114,0.5692307692307692,0.2
MNIST,deep,42,10,a5,class_selectivity,loss_free,activation_fisher,0.4668273510830454,0.5,0.05
MNIST,deep,42,10,a5,class_selectivity,loss_free,activation_fisher,0.4668273510830454,0.8461538461538461,0.1
MNIST,deep,42,10,a5,class_selectivity,loss_free,activation_fisher,0.4668273510830454,0.47058823529411764,0.2
MNIST,deep,42,10,a6,class_selectivity,loss_free,activation_fisher,0.34894688644688643,0.2,0.05
MNIST,deep,42,10,a6,class_selectivity,loss_free,activation_fisher,0.34894688644688643,0.3333333333333333,0.1
MNIST,deep,42,10,a6,class_selectivity,loss_free,activation_fisher,0.34894688644688643,0.4117647058823529,0.2
MNIST,deep,42,10,a1,redundancy,loss_free,activation_fisher,-0.4730872368186541,0.0,0.05
MNIST,deep,42,10,a1,redundancy,loss_free,activation_fisher,-0.4730872368186541,0.0,0.1
MNIST,deep,42,10,a1,redundancy,loss_free,activation_fisher,-0.4730872368186541,0.0049261083743842365,0.2
MNIST,deep,42,10,a2,redundancy,loss_free,activation_fisher,-0.33886385687075293,0.0,0.05
MNIST,deep,42,10,a2,redundancy,loss_free,activation_fisher,-0.33886385687075293,0.009900990099009901,0.1
MNIST,deep,42,10,a2,redundancy,loss_free,activation_fisher,-0.33886385687075293,0.09090909090909091,0.2
