dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,deep,42,1,0.49127722332427454,0.8455747414080748,0.9399,0.9465,0.21018855282068252,0.18951278422623874,2048,2.823659361107275
MNIST,deep,42,2,0.1857082836720241,0.9520145145145145,0.9519,0.9529,0.1784035491645336,0.16394836795516313,2048,2.5711008890066296
MNIST,deep,42,3,0.14106361657967756,0.9635468802135468,0.9648,0.966,0.13839182526543736,0.1268485229184851,2048,2.5220291970763355
MNIST,deep,42,4,0.11532057539339578,0.9698031364698031,0.9656,0.9673,0.12901520393490792,0.11761713358685374,2048,2.425561417010613
MNIST,deep,42,5,0.10064668204383051,0.9737028695362029,0.9723,0.9748,0.11320002959072589,0.09693856736617162,2048,2.6127104939660057
MNIST,deep,42,6,0.09057618729822389,0.976685018351685,0.9708,0.9756,0.11744659918248654,0.0972813134281314,2048,2.5797353140078485
MNIST,deep,42,7,0.07964208600175632,0.9793126459793127,0.9752,0.9758,0.10040468872096389,0.10156826171509456,2048,2.581698338035494
MNIST,deep,42,8,0.07460812182800548,0.9806473139806473,0.9747,0.9776,0.11015029182806611,0.10326518805911765,2048,2.7475030820351094
MNIST,deep,42,9,0.06679106496391314,0.9819819819819819,0.9759,0.9803,0.10234278437048197,0.08414501401608578,2048,2.590325620956719
MNIST,deep,42,10,0.06454321562816272,0.9830038371705039,0.9706,0.9746,0.12496820887625218,0.107968811603426,2048,2.4494016600074247
