dataset,architecture,seed,epoch,layer,criterion,criterion_group,previous_epoch,spearman,topk_jaccard,topk_ratio
MNIST,deep,42,2,a1,activation_variance,baseline,1,0.6366024436310527,0.35135135135135137,0.05
MNIST,deep,42,2,a1,activation_variance,baseline,1,0.6366024436310527,0.8888888888888888,0.1
MNIST,deep,42,2,a1,activation_variance,baseline,1,0.6366024436310527,0.5338345864661654,0.2
MNIST,deep,42,2,a2,activation_variance,baseline,1,0.7593210009463305,0.5151515151515151,0.05
MNIST,deep,42,2,a2,activation_variance,baseline,1,0.7593210009463305,0.6190476190476191,0.1
MNIST,deep,42,2,a2,activation_variance,baseline,1,0.7593210009463305,0.5223880597014925,0.2
MNIST,deep,42,2,a3,activation_variance,baseline,1,0.8322716053705378,0.3333333333333333,0.05
MNIST,deep,42,2,a3,activation_variance,baseline,1,0.8322716053705378,0.6666666666666666,0.1
MNIST,deep,42,2,a3,activation_variance,baseline,1,0.8322716053705378,0.7288135593220338,0.2
MNIST,deep,42,2,a4,activation_variance,baseline,1,0.8328599097763169,0.2,0.05
MNIST,deep,42,2,a4,activation_variance,baseline,1,0.8328599097763169,0.6129032258064516,0.1
MNIST,deep,42,2,a4,activation_variance,baseline,1,0.8328599097763169,0.5692307692307692,0.2
MNIST,deep,42,2,a5,activation_variance,baseline,1,0.8089651420414223,0.09090909090909091,0.05
MNIST,deep,42,2,a5,activation_variance,baseline,1,0.8089651420414223,0.6,0.1
MNIST,deep,42,2,a5,activation_variance,baseline,1,0.8089651420414223,0.6129032258064516,0.2
MNIST,deep,42,2,a6,activation_variance,baseline,1,0.7892489612348731,0.5,0.05
MNIST,deep,42,2,a6,activation_variance,baseline,1,0.7892489612348731,0.3333333333333333,0.1
MNIST,deep,42,2,a6,activation_variance,baseline,1,0.7892489612348731,0.5,0.2
MNIST,deep,42,2,a1,class_selectivity,loss_free,1,0.6781235215089308,0.3157894736842105,0.05
MNIST,deep,42,2,a1,class_selectivity,loss_free,1,0.6781235215089308,0.8888888888888888,0.1
MNIST,deep,42,2,a1,class_selectivity,loss_free,1,0.6781235215089308,0.5338345864661654,0.2
MNIST,deep,42,2,a2,class_selectivity,loss_free,1,0.739502343801415,0.5625,0.05
MNIST,deep,42,2,a2,class_selectivity,loss_free,1,0.739502343801415,0.59375,0.1
MNIST,deep,42,2,a2,class_selectivity,loss_free,1,0.739502343801415,0.5223880597014925,0.2
MNIST,deep,42,2,a3,class_selectivity,loss_free,1,0.8275177737639956,0.6,0.05
MNIST,deep,42,2,a3,class_selectivity,loss_free,1,0.8275177737639956,0.5625,0.1
MNIST,deep,42,2,a3,class_selectivity,loss_free,1,0.8275177737639956,0.7,0.2
MNIST,deep,42,2,a4,class_selectivity,loss_free,1,0.7915992190597251,0.14285714285714285,0.05
MNIST,deep,42,2,a4,class_selectivity,loss_free,1,0.7915992190597251,0.6129032258064516,0.1
MNIST,deep,42,2,a4,class_selectivity,loss_free,1,0.7915992190597251,0.6451612903225806,0.2
MNIST,deep,42,2,a5,class_selectivity,loss_free,1,0.8043347230593274,0.7142857142857143,0.05
MNIST,deep,42,2,a5,class_selectivity,loss_free,1,0.8043347230593274,0.8461538461538461,0.1
MNIST,deep,42,2,a5,class_selectivity,loss_free,1,0.8043347230593274,0.6666666666666666,0.2
MNIST,deep,42,2,a6,class_selectivity,loss_free,1,0.6566924988124703,0.5,0.05
MNIST,deep,42,2,a6,class_selectivity,loss_free,1,0.6566924988124703,0.3333333333333333,0.1
MNIST,deep,42,2,a6,class_selectivity,loss_free,1,0.6566924988124703,0.5,0.2
MNIST,deep,42,2,a1,firing_rate,baseline,1,0.6415587681243814,0.5625,0.05
MNIST,deep,42,2,a1,firing_rate,baseline,1,0.6415587681243814,0.8888888888888888,0.1
MNIST,deep,42,2,a1,firing_rate,baseline,1,0.6415587681243814,0.48905109489051096,0.2
MNIST,deep,42,2,a2,firing_rate,baseline,1,0.7947353775838667,0.5151515151515151,0.05
MNIST,deep,42,2,a2,firing_rate,baseline,1,0.7947353775838667,0.6190476190476191,0.1
MNIST,deep,42,2,a2,firing_rate,baseline,1,0.7947353775838667,0.6585365853658537,0.2
MNIST,deep,42,2,a3,firing_rate,baseline,1,0.8348793651656689,0.3333333333333333,0.05
MNIST,deep,42,2,a3,firing_rate,baseline,1,0.8348793651656689,0.6129032258064516,0.1
MNIST,deep,42,2,a3,firing_rate,baseline,1,0.8348793651656689,0.8214285714285714,0.2
MNIST,deep,42,2,a4,firing_rate,baseline,1,0.7935578872882184,0.4117647058823529,0.05
MNIST,deep,42,2,a4,firing_rate,baseline,1,0.7935578872882184,0.7241379310344828,0.1
MNIST,deep,42,2,a4,firing_rate,baseline,1,0.7935578872882184,0.6721311475409836,0.2
MNIST,deep,42,2,a5,firing_rate,baseline,1,0.7515351482171926,0.2,0.05
MNIST,deep,42,2,a5,firing_rate,baseline,1,0.7515351482171926,0.6,0.1
MNIST,deep,42,2,a5,firing_rate,baseline,1,0.7515351482171926,0.7241379310344828,0.2
MNIST,deep,42,2,a6,firing_rate,baseline,1,0.8410220016398567,0.5,0.05
MNIST,deep,42,2,a6,firing_rate,baseline,1,0.8410220016398567,0.5,0.1
MNIST,deep,42,2,a6,firing_rate,baseline,1,0.8410220016398567,0.7142857142857143,0.2
MNIST,deep,42,2,a1,hebbian,loss_free,1,0.6315814178154311,0.3157894736842105,0.05
MNIST,deep,42,2,a1,hebbian,loss_free,1,0.6315814178154311,0.8888888888888888,0.1
MNIST,deep,42,2,a1,hebbian,loss_free,1,0.6315814178154311,0.48905109489051096,0.2
MNIST,deep,42,2,a2,hebbian,loss_free,1,0.7525061748078045,0.5151515151515151,0.05
MNIST,deep,42,2,a2,hebbian,loss_free,1,0.7525061748078045,0.6451612903225806,0.1
MNIST,deep,42,2,a2,hebbian,loss_free,1,0.7525061748078045,0.5813953488372093,0.2
MNIST,deep,42,2,a3,hebbian,loss_free,1,0.8351694006881957,0.3333333333333333,0.05
MNIST,deep,42,2,a3,hebbian,loss_free,1,0.8351694006881957,0.5625,0.1
MNIST,deep,42,2,a3,hebbian,loss_free,1,0.8351694006881957,0.8545454545454545,0.2
MNIST,deep,42,2,a4,hebbian,loss_free,1,0.8188496496315233,0.8461538461538461,0.05
MNIST,deep,42,2,a4,hebbian,loss_free,1,0.8188496496315233,0.6666666666666666,0.1
MNIST,deep,42,2,a4,hebbian,loss_free,1,0.8188496496315233,0.6721311475409836,0.2
MNIST,deep,42,2,a5,hebbian,loss_free,1,0.7893030535172048,0.5,0.05
MNIST,deep,42,2,a5,hebbian,loss_free,1,0.7893030535172048,0.6,0.1
MNIST,deep,42,2,a5,hebbian,loss_free,1,0.7893030535172048,0.7241379310344828,0.2
MNIST,deep,42,2,a6,hebbian,loss_free,1,0.8089607253360284,0.5,0.05
MNIST,deep,42,2,a6,hebbian,loss_free,1,0.8089607253360284,0.5,0.1
MNIST,deep,42,2,a6,hebbian,loss_free,1,0.8089607253360284,0.6,0.2
MNIST,deep,42,2,a1,mean_activation,baseline,1,0.6194111689752334,0.3157894736842105,0.05
MNIST,deep,42,2,a1,mean_activation,baseline,1,0.6194111689752334,0.8888888888888888,0.1
MNIST,deep,42,2,a1,mean_activation,baseline,1,0.6194111689752334,0.4782608695652174,0.2
MNIST,deep,42,2,a2,mean_activation,baseline,1,0.7538327477998817,0.5151515151515151,0.05
MNIST,deep,42,2,a2,mean_activation,baseline,1,0.7538327477998817,0.6190476190476191,0.1
MNIST,deep,42,2,a2,mean_activation,baseline,1,0.7538327477998817,0.5454545454545454,0.2
MNIST,deep,42,2,a3,mean_activation,baseline,1,0.8407307030137391,0.14285714285714285,0.05
MNIST,deep,42,2,a3,mean_activation,baseline,1,0.8407307030137391,0.6666666666666666,0.1
MNIST,deep,42,2,a3,mean_activation,baseline,1,0.8407307030137391,0.8545454545454545,0.2
MNIST,deep,42,2,a4,mean_activation,baseline,1,0.8235956988674835,0.2,0.05
MNIST,deep,42,2,a4,mean_activation,baseline,1,0.8235956988674835,0.5151515151515151,0.1
MNIST,deep,42,2,a4,mean_activation,baseline,1,0.8235956988674835,0.7,0.2
MNIST,deep,42,2,a5,mean_activation,baseline,1,0.8255727586380945,0.2,0.05
MNIST,deep,42,2,a5,mean_activation,baseline,1,0.8255727586380945,0.8461538461538461,0.1
MNIST,deep,42,2,a5,mean_activation,baseline,1,0.8255727586380945,0.6129032258064516,0.2
MNIST,deep,42,2,a6,mean_activation,baseline,1,0.8152794789851792,0.5,0.05
MNIST,deep,42,2,a6,mean_activation,baseline,1,0.8152794789851792,0.3333333333333333,0.1
MNIST,deep,42,2,a6,mean_activation,baseline,1,0.8152794789851792,0.6,0.2
MNIST,deep,42,2,a1,output_weight_norm,baseline,1,0.929011735625892,0.9230769230769231,0.05
MNIST,deep,42,2,a1,output_weight_norm,baseline,1,0.929011735625892,0.9245283018867925,0.1
MNIST,deep,42,2,a1,output_weight_norm,baseline,1,0.929011735625892,0.7288135593220338,0.2
MNIST,deep,42,2,a2,output_weight_norm,baseline,1,0.7846885156670215,0.47058823529411764,0.05
MNIST,deep,42,2,a2,output_weight_norm,baseline,1,0.7846885156670215,0.3783783783783784,0.1
MNIST,deep,42,2,a2,output_weight_norm,baseline,1,0.7846885156670215,0.5111111111111111,0.2
MNIST,deep,42,2,a3,output_weight_norm,baseline,1,0.8963049324788281,0.5,0.05
MNIST,deep,42,2,a3,output_weight_norm,baseline,1,0.8963049324788281,0.7241379310344828,0.1
MNIST,deep,42,2,a3,output_weight_norm,baseline,1,0.8963049324788281,0.6721311475409836,0.2
MNIST,deep,42,2,a4,output_weight_norm,baseline,1,0.8534919317921721,0.6,0.05
MNIST,deep,42,2,a4,output_weight_norm,baseline,1,0.8534919317921721,0.5625,0.1
MNIST,deep,42,2,a4,output_weight_norm,baseline,1,0.8534919317921721,0.6721311475409836,0.2
MNIST,deep,42,2,a5,output_weight_norm,baseline,1,0.9426959348104743,0.7142857142857143,0.05
MNIST,deep,42,2,a5,output_weight_norm,baseline,1,0.9426959348104743,1.0,0.1
MNIST,deep,42,2,a5,output_weight_norm,baseline,1,0.9426959348104743,0.7857142857142857,0.2
MNIST,deep,42,2,a6,output_weight_norm,baseline,1,0.9157051282051282,1.0,0.05
MNIST,deep,42,2,a6,output_weight_norm,baseline,1,0.9157051282051282,0.5,0.1
MNIST,deep,42,2,a6,output_weight_norm,baseline,1,0.9157051282051282,0.8461538461538461,0.2
MNIST,deep,42,2,a1,redundancy,loss_free,1,0.7586694472170257,0.35135135135135137,0.05
MNIST,deep,42,2,a1,redundancy,loss_free,1,0.7586694472170257,0.5,0.1
MNIST,deep,42,2,a1,redundancy,loss_free,1,0.7586694472170257,0.3691275167785235,0.2
MNIST,deep,42,2,a2,redundancy,loss_free,1,0.7332597875012566,0.47058823529411764,0.05
MNIST,deep,42,2,a2,redundancy,loss_free,1,0.7332597875012566,0.3972602739726027,0.1
MNIST,deep,42,2,a2,redundancy,loss_free,1,0.7332597875012566,0.5454545454545454,0.2
MNIST,deep,42,2,a3,redundancy,loss_free,1,0.8112248453372392,0.4117647058823529,0.05
MNIST,deep,42,2,a3,redundancy,loss_free,1,0.8112248453372392,0.35135135135135137,0.1
MNIST,deep,42,2,a3,redundancy,loss_free,1,0.8112248453372392,0.5,0.2
MNIST,deep,42,2,a4,redundancy,loss_free,1,0.6514201303603028,0.09090909090909091,0.05
MNIST,deep,42,2,a4,redundancy,loss_free,1,0.6514201303603028,0.28205128205128205,0.1
MNIST,deep,42,2,a4,redundancy,loss_free,1,0.6514201303603028,0.36,0.2
MNIST,deep,42,2,a5,redundancy,loss_free,1,0.6236216578680743,0.2,0.05
MNIST,deep,42,2,a5,redundancy,loss_free,1,0.6236216578680743,0.14285714285714285,0.1
MNIST,deep,42,2,a5,redundancy,loss_free,1,0.6236216578680743,0.25,0.2
MNIST,deep,42,2,a6,redundancy,loss_free,1,0.40183683752462096,0.0,0.05
MNIST,deep,42,2,a6,redundancy,loss_free,1,0.40183683752462096,0.0,0.1
MNIST,deep,42,2,a6,redundancy,loss_free,1,0.40183683752462096,0.09090909090909091,0.2
MNIST,deep,42,3,a1,activation_variance,baseline,2,0.6953920367117997,0.3157894736842105,0.05
MNIST,deep,42,3,a1,activation_variance,baseline,2,0.6953920367117997,0.8888888888888888,0.1
MNIST,deep,42,3,a1,activation_variance,baseline,2,0.6953920367117997,0.59375,0.2
MNIST,deep,42,3,a2,activation_variance,baseline,2,0.7888279968792961,0.7241379310344828,0.05
MNIST,deep,42,3,a2,activation_variance,baseline,2,0.7888279968792961,0.6190476190476191,0.1
MNIST,deep,42,3,a2,activation_variance,baseline,2,0.7888279968792961,0.5454545454545454,0.2
MNIST,deep,42,3,a3,activation_variance,baseline,2,0.8119830577422484,0.4117647058823529,0.05
MNIST,deep,42,3,a3,activation_variance,baseline,2,0.8119830577422484,0.7241379310344828,0.1
MNIST,deep,42,3,a3,activation_variance,baseline,2,0.8119830577422484,0.7,0.2
MNIST,deep,42,3,a4,activation_variance,baseline,2,0.8011576910590286,0.2,0.05
MNIST,deep,42,3,a4,activation_variance,baseline,2,0.8011576910590286,0.7241379310344828,0.1
MNIST,deep,42,3,a4,activation_variance,baseline,2,0.8011576910590286,0.6190476190476191,0.2
MNIST,deep,42,3,a5,activation_variance,baseline,2,0.7663225925137114,0.2,0.05
MNIST,deep,42,3,a5,activation_variance,baseline,2,0.7663225925137114,0.7142857142857143,0.1
