dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,deep,44,1,0.4867601619886087,0.8498498498498499,0.946,0.9525,0.19428595876693724,0.1796662445962429,2048,2.83280318393372
MNIST,deep,44,2,0.18962621402454088,0.9504713046379714,0.9617,0.9664,0.13451009936332703,0.12628932014107705,2048,2.5282009709626436
MNIST,deep,44,3,0.14312009108655246,0.9630672339005673,0.9719,0.9733,0.09532644410133362,0.10236577256880701,2048,2.4727514289552346
MNIST,deep,44,4,0.11479871075203867,0.9703244911578245,0.97,0.9699,0.11686515491008759,0.11079824701426551,2048,2.561200454016216
MNIST,deep,44,5,0.10271346225929352,0.9737028695362029,0.9716,0.9738,0.10589413485527038,0.0983460999173578,2048,2.5405796229606494
MNIST,deep,44,6,0.08989223509450177,0.976830997664331,0.9738,0.9758,0.10237299792170525,0.09819677198678255,2048,2.4987592889228836
MNIST,deep,44,7,0.0795540851582815,0.9793126459793127,0.976,0.9779,0.09800962814092636,0.10171482945898315,2048,2.4904150699730963
MNIST,deep,44,8,0.07160366583437791,0.9815231898565232,0.9769,0.9781,0.08470262296199799,0.09182568365426269,2048,2.551682547898963
MNIST,deep,44,9,0.06711739254447274,0.9827744411077745,0.975,0.9795,0.09719230245351791,0.0863243635578081,2048,2.4717681480105966
MNIST,deep,44,10,0.06375457142182328,0.9843176509843177,0.9706,0.9734,0.10546884965896607,0.10250811809357256,2048,2.516700351028703
