dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,deep,44,10,all,all,random,baseline,0,0.2,3,0.9826,0.9844,0.07307374330163002,0.07212487455391092,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.3387727939989418,0.9844,0.07212487612225814,0.34972389100585133,901760,903498,"[0.9928571428571429, 0.9903083700440528, 0.9854651162790697, 0.9861386138613861, 0.9826883910386965, 0.9742152466367713, 0.9864300626304802, 0.9854085603112841, 0.9825462012320328, 0.9762140733399405]","[0.9918032786885246, 0.9908759124087592, 0.9906444906444907, 0.9733201581027668, 0.9881539980256664, 0.9704641350210971, 0.9906735751295337, 0.9883268482490273, 0.9687174139728885, 0.9721421709894332]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.2,5,0.9823,0.9841,0.07562448641061782,0.07754897815854656,644001,0.28721369610115355,642606,0.2873868878637331,0.0,0.0,0,0,0,0.3221740999724716,0.9841,0.07754897665352928,0.33247615303844213,901760,903498,"[0.9928571428571429, 0.9903083700440528, 0.9844961240310077, 0.9851485148514851, 0.9775967413441955, 0.9798206278026906, 0.9832985386221295, 0.9863813229571985, 0.9804928131416838, 0.979187314172448]","[0.9938524590163934, 0.9917883211678832, 0.9896049896049897, 0.9733201581027668, 0.9802566633761106, 0.9767932489451476, 0.9865284974093265, 0.9873540856031129, 0.9666319082377477, 0.9759846301633045]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.3,0,0.9508,0.9528,0.8873911261558532,0.8734910745620728,529280,0.4141879672118809,528057,0.4144151437189496,0.0,0.0,0,0,0,0.308589881984517,0.9528,0.873491084575653,0.33405969897285104,901760,903498,"[0.9857142857142858, 0.9700440528634361, 0.875, 0.9831683168316832, 0.939918533604888, 0.8912556053811659, 0.9457202505219207, 0.9824902723735408, 0.9887063655030801, 0.9593657086223984]","[0.9754098360655737, 0.9708029197080292, 0.8773388773388774, 0.9762845849802372, 0.945705824284304, 0.9040084388185654, 0.938860103626943, 0.9844357976653697, 0.9781021897810219, 0.9500480307396734]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.3,1,0.9784,0.9797,0.08502386258840561,0.08124367729068036,529280,0.4141879672118809,528057,0.4144151437189496,0.0,0.0,0,0,0,0.3293080050498247,0.9797,0.08124367493927712,0.3199780220165849,901760,903498,"[0.9918367346938776, 0.9903083700440528, 0.9786821705426356, 0.9851485148514851, 0.9694501018329938, 0.9697309417040358, 0.9832985386221295, 0.9854085603112841, 0.9702258726899384, 0.9702675916749257]","[0.9907786885245902, 0.9872262773722628, 0.9864864864864865, 0.974308300395257, 0.9703849950641659, 0.9672995780590717, 0.9906735751295337, 0.9863813229571985, 0.9582898852971846, 0.9711815561959655]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.3,3,0.981,0.9837,0.07749990477859973,0.07448667167010135,529280,0.4141879672118809,528057,0.4144151437189496,0.0,0.0,0,0,0,0.32682220509741455,0.9837,0.07448667824337608,0.3471604030346498,901760,903498,"[0.9897959183673469, 0.9903083700440528, 0.9825581395348837, 0.9851485148514851, 0.9755600814663951, 0.984304932735426, 0.9874739039665971, 0.980544747081712, 0.9804928131416838, 0.9801783944499505]","[0.9887295081967213, 0.9927007299270073, 0.9885654885654885, 0.9703557312252964, 0.9763079960513327, 0.9746835443037974, 0.9927461139896373, 0.9824902723735408, 0.9676746611053181, 0.9750240153698367]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.3,5,0.9815,0.9841,0.07602766312658787,0.07414735553599748,529280,0.4141879672118809,528057,0.4144151437189496,0.0,0.0,0,0,0,0.310972191975452,0.9841,0.0741473605677471,0.3139690780080855,901760,903498,"[0.9897959183673469, 0.9911894273127754, 0.9854651162790697, 0.9841584158415841, 0.9837067209775967, 0.9831838565022422, 0.9853862212943633, 0.9873540856031129, 0.9784394250513347, 0.9712586719524281]","[0.9907786885245902, 0.9917883211678832, 0.9916839916839917, 0.9733201581027668, 0.9861796643632774, 0.9778481012658228, 0.9906735751295337, 0.9863813229571985, 0.9603753910323254, 0.9654178674351584]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.4,0,0.871,0.8766,1.5660934507369995,1.558399365234375,423785,0.5309508156077822,422735,0.5312111870120653,0.0,0.0,0,0,0,0.3289269310189411,0.8766,1.558399380493164,0.3249331940896809,901760,903498,"[0.9244897959183673, 0.9462555066079296, 0.7228682170542635, 0.9673267326732673, 0.6832993890020367, 0.7645739910313901, 0.802713987473904, 0.9766536964980544, 0.9969199178644764, 0.9573835480673935]","[0.9006147540983607, 0.9470802919708029, 0.6985446985446986, 0.9594861660079052, 0.7137216189536032, 0.7521097046413502, 0.8010362694300518, 0.9863813229571985, 0.9854014598540146, 0.9433237271853987]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.4,1,0.9734,0.9779,0.09451136977672576,0.08908554790792987,423785,0.5309508156077822,422735,0.5312111870120653,0.0,0.0,0,0,0,0.3176301410421729,0.9779,0.08908554591117426,0.32510628807358444,901760,903498,"[0.9908163265306122, 0.9911894273127754, 0.9786821705426356, 0.9821782178217822, 0.9857433808553971, 0.9663677130044843, 0.9812108559498957, 0.97568093385214, 0.9691991786447639, 0.9554013875123885]","[0.9907786885245902, 0.989963503649635, 0.9833679833679834, 0.9545454545454546, 0.9792694965449161, 0.9630801687763713, 0.9844559585492227, 0.9815175097276264, 0.9582898852971846, 0.9481268011527377]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.4,3,0.9797,0.9824,0.0796883668243885,0.07345637368345632,423785,0.5309508156077822,422735,0.5312111870120653,0.0,0.0,0,0,0,0.3174854159587994,0.9824,0.07345637134918943,0.33859845099505037,901760,903498,"[0.9918367346938776, 0.9911894273127754, 0.9835271317829457, 0.9821782178217822, 0.9837067209775967, 0.9831838565022422, 0.9822546972860126, 0.9834630350194552, 0.9763860369609856, 0.9653121902874133]","[0.9907786885245902, 0.9917883211678832, 0.9864864864864865, 0.9604743083003953, 0.9842053307008884, 0.9778481012658228, 0.9875647668393782, 0.9854085603112841, 0.9666319082377477, 0.9654178674351584]",batch,both
MNIST,deep,44,10,all,all,random,baseline,0,0.4,5,0.9814,0.9832,0.0739832925900817,0.07218262722597282,423785,0.5309508156077822,422735,0.5312111870120653,0.0,0.0,0,0,0,0.31454321392811835,0.9832,0.07218262587238859,0.3285674749640748,901760,903498,"[0.9908163265306122, 0.9911894273127754, 0.9864341085271318, 0.9851485148514851, 0.9816700610997964, 0.9742152466367713, 0.9843423799582464, 0.9834630350194552, 0.9804928131416838, 0.9722497522299306]","[0.9907786885245902, 0.9908759124087592, 0.9885654885654885, 0.9752964426877471, 0.9851924975320829, 0.9746835443037974, 0.9854922279792746, 0.9854085603112841, 0.9687174139728885, 0.968299711815562]",batch,both
