dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,small,43,1,0.3522314990227088,0.893601935268602,0.9509,0.9521,0.16180620896816253,0.15113416764140128,2048,2.889692289987579
MNIST,small,43,2,0.15218579404187832,0.9533283283283284,0.968,0.9693,0.10855716497898102,0.10234304848909379,2048,2.6737113740528002
MNIST,small,43,3,0.11061377270960752,0.9655697364030698,0.9722,0.9718,0.09449171359539033,0.08995555035173892,2048,2.422068153973669
MNIST,small,43,4,0.08927409788410307,0.9722847847847848,0.974,0.9751,0.08492270017564296,0.07804474111683667,2048,2.4418674699263647
MNIST,small,43,5,0.07471995617700868,0.9762679346012679,0.9731,0.9711,0.09119266655445099,0.09250162907578051,2048,2.4962136188987643
MNIST,small,43,6,0.06422061416698688,0.9797088755422089,0.9765,0.9767,0.08488030144572258,0.0815824693594128,2048,2.5407757370267063
MNIST,small,43,7,0.05588091689251763,0.9822322322322322,0.9771,0.9777,0.07419107446670532,0.07021277705752291,2048,2.5557272139703855
MNIST,small,43,8,0.052150480745035206,0.9834209209209209,0.9735,0.9755,0.08891905422955751,0.08329071472641081,2048,2.4289902249583974
MNIST,small,43,9,0.04803700524720702,0.9848598598598599,0.9811,0.9795,0.0712243374850601,0.06994073100420646,2048,2.549932927940972
MNIST,small,43,10,0.04551869329633138,0.9855063396730064,0.9783,0.9791,0.08032288102805614,0.07062868924892973,2048,2.5936685090418905
