dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,medium,42,1,0.41571161672995016,0.8708291624958292,0.9473,0.9532,0.1830436138600111,0.15784830860197543,2048,2.631358575075865
MNIST,medium,42,2,0.16181217676944085,0.9539122455789123,0.9597,0.9652,0.13800309874415398,0.1176090564109385,2048,2.551527513889596
MNIST,medium,42,3,0.11918788248145425,0.9666124457791124,0.971,0.9757,0.10090808114036917,0.08447828690716996,2048,2.3546203799778596
MNIST,medium,42,4,0.09607107901785984,0.9713672005338672,0.973,0.9757,0.09682659131288529,0.08609659182745963,2048,2.348847038927488
MNIST,medium,42,5,0.08034997421739735,0.9771646646646647,0.9724,0.9753,0.09955128950700164,0.0904360083384905,2048,2.3689611779991537
MNIST,medium,42,6,0.07065121838397231,0.9798548548548549,0.9733,0.9791,0.09754184478474781,0.08608069744805107,2048,2.4361160669941455
MNIST,medium,42,7,0.06355412252070827,0.9815648982315649,0.9766,0.9793,0.08544326114691794,0.07620429613484303,2048,2.432836243067868
MNIST,medium,42,8,0.05382474585634233,0.9840882549215882,0.9741,0.9763,0.09569278027415276,0.08779776888140477,2048,2.446002432028763
MNIST,medium,42,9,0.05105686487588369,0.9855897564230898,0.9755,0.9778,0.08781381101608277,0.08054963602637873,2048,2.4148863069713116
MNIST,medium,42,10,0.04632047348844386,0.9865907574240907,0.9757,0.979,0.09632643467783927,0.08293650381499901,2048,2.5057661259779707
