dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,42,10,a1,output_weight_norm,baseline,0,1.0883694887161255
MNIST,medium,42,10,a1,output_weight_norm,baseline,1,0.950014591217041
MNIST,medium,42,10,a1,output_weight_norm,baseline,2,0.9721356630325317
MNIST,medium,42,10,a1,output_weight_norm,baseline,3,1.186672329902649
MNIST,medium,42,10,a1,output_weight_norm,baseline,4,1.1520085334777832
MNIST,medium,42,10,a1,output_weight_norm,baseline,5,1.1290830373764038
MNIST,medium,42,10,a1,output_weight_norm,baseline,6,0.9622198343276978
MNIST,medium,42,10,a1,output_weight_norm,baseline,7,1.0404961109161377
MNIST,medium,42,10,a1,output_weight_norm,baseline,8,0.8884679079055786
MNIST,medium,42,10,a1,output_weight_norm,baseline,9,1.335341215133667
MNIST,medium,42,10,a1,output_weight_norm,baseline,10,1.1506236791610718
MNIST,medium,42,10,a1,output_weight_norm,baseline,11,0.8859479427337646
MNIST,medium,42,10,a1,output_weight_norm,baseline,12,0.862977147102356
MNIST,medium,42,10,a1,output_weight_norm,baseline,13,0.9300599694252014
MNIST,medium,42,10,a1,output_weight_norm,baseline,14,1.3351528644561768
MNIST,medium,42,10,a1,output_weight_norm,baseline,15,1.1459650993347168
MNIST,medium,42,10,a1,output_weight_norm,baseline,16,0.4300549328327179
MNIST,medium,42,10,a1,output_weight_norm,baseline,17,0.8556765913963318
MNIST,medium,42,10,a1,output_weight_norm,baseline,18,1.217840313911438
MNIST,medium,42,10,a1,output_weight_norm,baseline,19,0.8745594620704651
MNIST,medium,42,10,a1,output_weight_norm,baseline,20,1.0711995363235474
MNIST,medium,42,10,a1,output_weight_norm,baseline,21,1.4096343517303467
MNIST,medium,42,10,a1,output_weight_norm,baseline,22,1.2945319414138794
MNIST,medium,42,10,a1,output_weight_norm,baseline,23,0.9962301254272461
MNIST,medium,42,10,a1,output_weight_norm,baseline,24,1.1628326177597046
MNIST,medium,42,10,a1,output_weight_norm,baseline,25,1.1381933689117432
MNIST,medium,42,10,a1,output_weight_norm,baseline,26,1.1075109243392944
MNIST,medium,42,10,a1,output_weight_norm,baseline,27,0.5479679107666016
MNIST,medium,42,10,a1,output_weight_norm,baseline,28,0.8233485817909241
MNIST,medium,42,10,a1,output_weight_norm,baseline,29,1.1059584617614746
MNIST,medium,42,10,a1,output_weight_norm,baseline,30,0.4141499102115631
MNIST,medium,42,10,a1,output_weight_norm,baseline,31,1.1145483255386353
MNIST,medium,42,10,a1,output_weight_norm,baseline,32,0.6437798142433167
MNIST,medium,42,10,a1,output_weight_norm,baseline,33,1.2241798639297485
MNIST,medium,42,10,a1,output_weight_norm,baseline,34,0.6669017672538757
MNIST,medium,42,10,a1,output_weight_norm,baseline,35,1.1843245029449463
MNIST,medium,42,10,a1,output_weight_norm,baseline,36,0.731074869632721
MNIST,medium,42,10,a1,output_weight_norm,baseline,37,0.3952622711658478
MNIST,medium,42,10,a1,output_weight_norm,baseline,38,1.0348141193389893
MNIST,medium,42,10,a1,output_weight_norm,baseline,39,0.72312992811203
MNIST,medium,42,10,a1,output_weight_norm,baseline,40,1.1564348936080933
MNIST,medium,42,10,a1,output_weight_norm,baseline,41,0.8788362145423889
MNIST,medium,42,10,a1,output_weight_norm,baseline,42,0.7722983956336975
MNIST,medium,42,10,a1,output_weight_norm,baseline,43,0.9343599081039429
MNIST,medium,42,10,a1,output_weight_norm,baseline,44,1.1003985404968262
MNIST,medium,42,10,a1,output_weight_norm,baseline,45,1.1250429153442383
MNIST,medium,42,10,a1,output_weight_norm,baseline,46,0.8695370554924011
MNIST,medium,42,10,a1,output_weight_norm,baseline,47,0.8264071345329285
MNIST,medium,42,10,a1,output_weight_norm,baseline,48,1.1133129596710205
MNIST,medium,42,10,a1,output_weight_norm,baseline,49,1.1989597082138062
MNIST,medium,42,10,a1,output_weight_norm,baseline,50,1.1732968091964722
