dataset,architecture,seed,epoch,train_loss,train_accuracy,validation_accuracy,test_accuracy,validation_loss,test_loss,calibration_size,epoch_time_seconds
MNIST,small,44,1,0.34950155124669874,0.894019019019019,0.9513,0.9546,0.15512951979637146,0.13971145038604738,2048,2.938915711012669
MNIST,small,44,2,0.15143396164681222,0.9539122455789123,0.964,0.9691,0.11362320737838745,0.10317528766840696,2048,2.6496992430184036
MNIST,small,44,3,0.10900212316700805,0.9668835502168835,0.9728,0.9733,0.08623736481666565,0.0838373980132863,2048,2.6666268249973655
MNIST,small,44,4,0.08933254318920263,0.9720553887220554,0.9741,0.9752,0.08521010186672211,0.08097466504126787,2048,2.7291144009213895
MNIST,small,44,5,0.07399518154051887,0.976121955288622,0.9763,0.9787,0.07440393393039703,0.07384116278002038,2048,2.734949234058149
MNIST,small,44,6,0.061967831866956764,0.9803762095428762,0.9762,0.978,0.07769526534080505,0.06980706400461495,2048,2.5530598759651184
MNIST,small,44,7,0.058108193282141146,0.9810018351685018,0.9769,0.9788,0.07772643612623215,0.07282247152132913,2048,2.770373994950205
MNIST,small,44,8,0.05028130646706781,0.9829621287954621,0.9781,0.9811,0.07376517514586449,0.0711565601541195,2048,2.601586202974431
MNIST,small,44,9,0.04706557317424664,0.9849224224224224,0.9749,0.9766,0.08924645471572876,0.08522914260630496,2048,2.745534711983055
MNIST,small,44,10,0.04325723544559928,0.9861945278611945,0.9765,0.9799,0.07916586828827858,0.07451728417833801,2048,2.6693759879563004
