dataset,architecture,seed,epoch,layer,prune_scope,criterion,criterion_group,random_draw,pruning_percentage,fine_tune_epochs,validation_accuracy,test_accuracy,validation_loss,test_loss,parameter_count,parameter_reduction,estimated_macs,mac_reduction,scoring_time_seconds,scoring_memory_mb,num_forward_passes,num_backward_passes,calibration_size,compact_inference_time_seconds,compact_test_accuracy,compact_test_loss,masked_inference_time_seconds,original_macs,original_parameter_count,test_per_class_accuracy_json,validation_per_class_accuracy_json,weight_fisher_mode,weight_fisher_parts
MNIST,small,42,1,all,all,random,baseline,1,0.1,0,0.951,0.9508,0.17454439902305602,0.16027575215101242,209417,0.10941712808212767,209060,0.10944315703380592,0.0,0.0,0,0,0,0.3098942219512537,0.9508,0.16027575341463088,0.3097460940480232,234752,235146,"[0.9846938775510204, 0.9814977973568282, 0.9467054263565892, 0.8940594059405941, 0.9460285132382892, 0.9439461883408071, 0.9749478079331941, 0.933852140077821, 0.9671457905544147, 0.933597621407334]","[0.9660194174757282, 0.990521327014218, 0.9356435643564357, 0.8836206896551724, 0.9352941176470588, 0.9451219512195121, 0.9846938775510204, 0.9688888888888889, 0.9844559585492227, 0.9203980099502488]",batch,both
MNIST,small,42,1,all,all,random,baseline,1,0.2,0,0.946,0.946,0.22578004908561705,0.2139921736240387,183183,0.2209818580796612,182865,0.22102900081788446,0.0,0.0,0,0,0,0.3195370939793065,0.946,0.21399216949939728,0.3297387190395966,234752,235146,"[0.9806122448979592, 0.9859030837004406, 0.9253875968992248, 0.905940594059406, 0.9531568228105907, 0.9461883408071748, 0.9749478079331941, 0.9017509727626459, 0.9609856262833676, 0.9246778989098117]","[0.9660194174757282, 0.995260663507109, 0.905940594059406, 0.8922413793103449, 0.9588235294117647, 0.9512195121951219, 0.9846938775510204, 0.9288888888888889, 0.9740932642487047, 0.9154228855721394]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,1,0.05,0,0.952,0.9498,0.16825938057899475,0.15568292477726936,224190,0.04659232987165418,223808,0.04661941112322787,0.0,0.0,0,0,0,0.30822684604208916,0.9498,0.15568292750120163,0.332134610041976,234752,235146,"[0.9887755102040816, 0.9814977973568282, 0.9573643410852714, 0.8782178217821782, 0.9592668024439919, 0.9428251121076233, 0.9697286012526096, 0.9377431906614786, 0.9681724845995893, 0.9127849355797819]","[0.9660194174757282, 0.995260663507109, 0.9455445544554455, 0.8879310344827587, 0.9647058823529412, 0.9512195121951219, 0.9846938775510204, 0.96, 0.9792746113989638, 0.8955223880597015]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,1,0.1,0,0.9515,0.9495,0.16940132915973663,0.15628494248986244,212321,0.09706735389927956,211952,0.09712377317339149,0.0,0.0,0,0,0,0.347360807005316,0.9495,0.1562849406182766,0.3149223510408774,234752,235146,"[0.9816326530612245, 0.9814977973568282, 0.9573643410852714, 0.8762376237623762, 0.9521384928716904, 0.9461883408071748, 0.9780793319415448, 0.9319066147859922, 0.9661190965092402, 0.9226957383548068]","[0.9660194174757282, 0.990521327014218, 0.9554455445544554, 0.8879310344827587, 0.9470588235294117, 0.9512195121951219, 0.9897959183673469, 0.9555555555555556, 0.9792746113989638, 0.900497512437811]",batch,both
MNIST,small,42,1,a1,layerwise,random,baseline,1,0.2,0,0.944,0.9477,0.18675392889976503,0.1747742443084717,188583,0.19801740195453033,188240,0.19813249727371862,0.0,0.0,0,0,0,0.32841842994093895,0.9477,0.17477424094676972,0.3206091799074784,234752,235146,"[0.9857142857142858, 0.9850220264317181, 0.9496124031007752, 0.8891089108910891, 0.9643584521384929, 0.9517937219730942, 0.9707724425887265, 0.9173151750972762, 0.9630390143737166, 0.8999008919722498]","[0.9660194174757282, 0.990521327014218, 0.9306930693069307, 0.875, 0.9529411764705882, 0.9512195121951219, 0.9846938775510204, 0.9422222222222222, 0.9844559585492227, 0.8756218905472637]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,1,0.05,0,0.9515,0.9516,0.1655374425649643,0.14967734070420266,233544,0.006812788650455426,233156,0.006798664122137366,0.0,0.0,0,0,0,0.32711982203181833,0.9516,0.1496773409843445,0.3088057499844581,234752,235146,"[0.9857142857142858, 0.9850220264317181, 0.9476744186046512, 0.903960396039604, 0.9684317718940937, 0.945067264573991, 0.9686847599164927, 0.943579766536965, 0.9630390143737166, 0.9028741328047571]","[0.9660194174757282, 0.995260663507109, 0.9207920792079208, 0.896551724137931, 0.9705882352941176, 0.9512195121951219, 0.9795918367346939, 0.9822222222222222, 0.9792746113989638, 0.8805970149253731]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,1,0.1,0,0.9525,0.9533,0.16244159495830535,0.1474057623744011,231942,0.013625577300910963,231560,0.013597328244274842,0.0,0.0,0,0,0,0.31880775606259704,0.9533,0.14740576322078705,0.3071425099624321,234752,235146,"[0.9897959183673469, 0.9859030837004406, 0.9447674418604651, 0.9148514851485149, 0.9633401221995926, 0.9394618834080718, 0.9665970772442589, 0.9455252918287937, 0.9630390143737166, 0.9167492566897919]","[0.9660194174757282, 0.995260663507109, 0.9257425742574258, 0.9008620689655172, 0.9647058823529412, 0.9512195121951219, 0.9744897959183674, 0.9777777777777777, 0.9792746113989638, 0.8955223880597015]",batch,both
MNIST,small,42,1,a2,layerwise,random,baseline,1,0.2,0,0.952,0.9533,0.17033981025218964,0.1580976327776909,228471,0.028386619376897793,228102,0.028327767175572505,0.0,0.0,0,0,0,0.3133963650325313,0.9533,0.158097636282444,0.3092301998985931,234752,235146,"[0.9857142857142858, 0.986784140969163, 0.938953488372093, 0.9227722772277228, 0.960285132382892, 0.9428251121076233, 0.9707724425887265, 0.9416342412451362, 0.9599589322381931, 0.9207135777998018]","[0.9660194174757282, 0.995260663507109, 0.9158415841584159, 0.9137931034482759, 0.9647058823529412, 0.9573170731707317, 0.9795918367346939, 0.9733333333333334, 0.9740932642487047, 0.8855721393034826]",batch,both
MNIST,small,42,1,all,all,output_weight_norm,baseline,,0.05,0,0.9525,0.9534,0.15927086055278777,0.1445017809599638,222660,0.05309892577377462,222284,0.05311136859323884,0.12885347905103117,21.6025390625,4,0,512,0.32231128902640194,0.9534,0.14450178172290326,0.32693986501544714,234752,235146,"[0.9877551020408163, 0.9859030837004406, 0.9583333333333334, 0.905940594059406, 0.9653767820773931, 0.9484304932735426, 0.965553235908142, 0.9474708171206225, 0.9589322381930184, 0.9078295341922695]","[0.9660194174757282, 0.995260663507109, 0.9405940594059405, 0.896551724137931, 0.9705882352941176, 0.9512195121951219, 0.9795918367346939, 0.9822222222222222, 0.9740932642487047, 0.8756218905472637]",batch,both
MNIST,small,42,1,all,all,output_weight_norm,baseline,,0.1,0,0.948,0.952,0.16813071656227113,0.1513642509698868,209417,0.10941712808212767,209060,0.10944315703380592,0.12885347905103117,21.6025390625,4,0,512,0.3274315010057762,0.952,0.15136425310373305,0.32908903690986335,234752,235146,"[0.9846938775510204, 0.986784140969163, 0.9573643410852714, 0.8900990099009901, 0.9694501018329938, 0.9540358744394619, 0.9686847599164927, 0.9523346303501945, 0.9527720739219713, 0.9018830525272548]","[0.9611650485436893, 0.995260663507109, 0.9306930693069307, 0.875, 0.9764705882352941, 0.9634146341463414, 0.9795918367346939, 0.9777777777777777, 0.9689119170984456, 0.8656716417910447]",batch,both
